Frame Number,Distance
1,16.1245154965971
2,19.026297590440446
3,10.0
4,13.152946437965905
5,19.4164878389476
6,16.278820596099706
7,14.560219778561036
8,5.385164807134504
9,5.385164807134504
10,10.44030650891055
11,14.035668847618199
12,20.223748416156685
13,7.280109889280518
14,2.0
15,10.04987562112089
16,11.180339887498949
17,9.055385138137417
18,10.770329614269007
19,10.44030650891055
20,11.180339887498949
21,24.166091947189145
22,24.413111231467404
23,27.85677655436824
24,32.55764119219941
25,41.23105625617661
26,36.0
27,49.8196748283246
28,41.593268686170845
29,59.00847396772772
30,58.034472514187634
31,47.095647357266465
32,53.03772242470448
33,47.16990566028302
34,64.0
35,68.0294054067798
36,71.00704190430693
37,66.75327707311455
38,72.27724399837061
39,62.6418390534633
40,67.446274915669
41,57.9396237474839
42,43.657759905886145
43,61.40032573203501
44,55.78530272392541
45,60.40695324215582
46,44.94441010848846
47,38.62641583165593
48,49.36598018878993
49,52.32590180780452
50,45.12205669071391
51,50.59644256269407
52,52.20153254455275
53,67.446274915669
54,72.53275122315436
55,72.53275122315436
56,65.73431371817918
57,68.65857557508748
58,69.85699678629192
59,70.60453243241541
60,71.30918594402827
61,74.33034373659252
62,75.23961722390672
63,72.73238618387272
64,82.56512580987206
65,84.43340571124678
66,82.54089895318563
67,77.87810988975015
68,84.77027781009096
69,93.92017887546851
70,98.03060746521976
71,92.65527507918802
72,91.92388155425118
73,83.81527307120105
74,92.17917335276988
75,111.01801655587259
76,114.58621208504974
77,129.71121771072848
78,142.35167719419397
79,148.75819305167698
80,159.70597985047397
81,185.00270268296083
82,194.0
83,213.0211257129208
84,206.0024271701671
85,224.0557966221807
86,238.0021008310641
87,233.0
88,229.13969538253298
89,228.1074308302998
90,224.0803427344755
91,221.02036105300343
92,231.00865784641059
93,237.03375287076733
94,211.00236965494014
95,222.11033294288674
96,222.08106627986098
97,220.02045359466015
98,219.14607000811125
99,215.3346233191495
100,207.6174366473105
101,199.3037882229036
102,193.31321734428818
103,191.02355875650522
104,189.51780918953236
105,185.09727172489605
106,171.23667831396403
107,173.5655495770978
108,163.01226947687098
109,159.26079241294764
110,160.11246047700348
111,159.25451327984396
112,160.44936896105264
113,170.02646852769718
114,163.0
115,182.3951753747889
116,167.36188335460378
117,164.2224101637776
118,159.53056133543816
119,156.1793840428371
120,155.32224567009067
121,151.2679741386127
122,153.3101431738944
123,164.59647626847908
124,164.3684884641822
125,158.71042813879623
126,157.31814898478814
127,150.9602596712128
128,141.7956275771577
129,140.51334456200237
130,134.5362404707371
131,134.23859355639868
132,123.06502346320826
133,121.1486689980538
134,115.52488909321661
135,104.38869670610895
136,105.04284840006957
137,91.6624241442479
138,93.1933474020544
139,86.20904824900923
140,89.20201791439474
141,76.79192665899195
142,76.4198926981712
143,70.61161377563892
144,69.85699678629192
145,70.178344238091
146,58.034472514187634
147,54.589376255824725
148,38.63935817272331
149,35.608987629529715
150,26.40075756488817
151,33.37663853655727
152,28.0178514522438
153,33.83784863137726
154,31.76476034853718
155,38.62641583165593
156,37.69615364994153
157,42.95346318982906
158,43.41658669218482
159,49.09175083453431
160,49.24428900898052
161,48.093658625644196
162,48.507731342539614
163,50.695167422546305
164,55.90169943749474
165,57.723478758647246
166,46.09772228646444
167,35.510561809129406
168,47.042533945356304
169,45.27692569068709
170,34.0
171,43.56604182158393
172,47.12748667179272
173,48.703182647543684
174,52.55473337388365
175,45.617978911828175
176,43.382023926967726
177,45.17742799230607
178,47.70744176750625
179,46.87216658103186
180,48.877397639399746
181,54.405882034941776
182,72.62231062146122
183,76.21679604916491
184,51.97114584074513
185,54.70831746635972
186,57.982756057296896
187,60.74537019394976
188,65.45991139621256
189,69.6419413859206
190,66.70832032063167
191,57.77542730261716
192,53.665631459994955
193,59.033888572581766
194,63.50590523722971
195,67.97793759742936
196,70.3846574190711
197,60.166435825965294
198,53.45091205957107
199,57.97413216254298
200,54.817880294662984
201,56.293871780150276
202,47.853944456021594
203,43.73785545725808
204,36.345563690772494
205,40.44749683231337
206,39.293765408777
207,32.7566787083184
208,25.709920264364882
209,35.11409973215888
210,31.016124838541646
211,25.079872407968907
212,20.8806130178211
213,17.08800749063506
214,19.6468827043885
215,24.20743687382041
216,22.20360331117452
217,39.0
218,40.44749683231337
219,43.56604182158393
220,44.14748010928823
221,56.938563381947034
222,52.40229002629561
223,60.959002616512684
224,64.38167441127949
225,59.665735560705194
226,70.71067811865476
227,66.84309986827361
228,46.32493928760188
229,25.0
230,26.870057685088806
231,26.40075756488817
