Frame Number,Distance
1,19.026297590440446
2,22.20360331117452
3,12.165525060596439
4,20.8806130178211
5,1000
6,5.385164807134504
7,7.0710678118654755
8,11.40175425099138
9,21.02379604162864
10,29.0
11,30.066592756745816
12,36.013886210738214
13,24.73863375370596
14,25.495097567963924
15,28.30194339616981
16,27.459060435491963
17,29.154759474226502
18,36.71511950137164
19,34.438350715445125
20,33.52610922848042
21,41.7612260356422
22,40.85339643163099
23,48.703182647543684
24,49.64876634922564
25,52.20153254455275
26,44.40720662234904
27,60.876925020897694
28,52.952809179494906
29,65.37583651472461
30,65.12296062065974
31,61.0
32,60.8276253029822
33,56.515484603779164
34,69.46221994724903
35,76.4198926981712
36,79.51100552753688
37,72.00694410957877
38,74.67261881037788
39,64.77653896280658
40,70.03570517957252
41,57.723478758647246
42,43.93176527297759
43,62.96824596572466
44,56.71860364994893
45,60.41522986797286
46,45.89117562233506
47,42.42640687119285
48,54.037024344425184
49,54.120236510939236
50,50.08991914547278
51,56.568542494923804
52,55.57877292636101
53,70.57619995437555
54,72.69112738154499
55,78.63841300535
56,71.34423592694787
57,76.53103945458993
58,76.4198926981712
59,75.95393340703298
60,76.79192665899195
61,80.23091673413684
62,10.198039027185569
63,3.605551275463989
64,7.211102550927978
65,7.810249675906654
66,4.47213595499958
67,7.810249675906654
68,5.385164807134504
69,10.770329614269007
70,15.811388300841896
71,6.324555320336759
72,4.47213595499958
73,16.76305461424021
74,13.92838827718412
75,13.416407864998739
76,11.661903789690601
77,6.708203932499369
78,17.804493814764857
79,22.135943621178654
80,24.515301344262525
81,57.584720195551874
82,62.6418390534633
83,82.96987405076617
84,12.529964086141668
85,11.180339887498949
86,25.317977802344327
87,20.8806130178211
88,20.0
89,17.804493814764857
90,15.620499351813308
91,12.165525060596439
92,27.892651361962706
93,1000
94,19.4164878389476
95,8.06225774829855
96,6.708203932499369
97,8.06225774829855
98,7.211102550927978
99,12.206555615733702
100,13.45362404707371
101,20.615528128088304
102,23.53720459187964
103,20.024984394500787
104,24.698178070456937
105,23.021728866442675
106,35.12833614050059
107,37.8549864614954
108,43.289721643826724
109,54.120236510939236
110,49.09175083453431
111,50.35871324805669
112,50.635955604688654
113,39.0
114,43.18564576337837
115,27.892651361962706
116,41.10960958218893
117,46.87216658103186
118,51.0
119,59.033888572581766
120,58.215118311311535
121,63.198101237299845
122,64.28063471995279
123,53.009433122794285
124,55.00909015790027
125,62.00806399170998
126,61.032778078668514
127,66.03029607687671
128,67.02984409947557
129,61.07372593840988
130,1000
131,5.385164807134504
132,8.246211251235321
133,6.4031242374328485
134,5.385164807134504
135,13.92838827718412
136,17.204650534085253
137,31.144823004794873
138,28.284271247461902
139,29.732137494637012
140,28.319604517012593
141,40.0
142,37.44329045369811
143,46.400431032480725
144,44.82186966202994
145,38.47076812334269
146,1000
147,10.04987562112089
148,14.866068747318506
149,34.0
150,43.18564576337837
151,45.254833995939045
152,43.278170016764804
153,51.40038910358559
154,49.73932046178355
155,56.85068161420758
156,52.40229002629561
157,1000
158,4.123105625617661
159,5.830951894845301
160,5.0990195135927845
161,6.4031242374328485
162,4.47213595499958
163,8.54400374531753
164,15.652475842498529
165,13.038404810405298
166,11.180339887498949
167,1000
168,12.806248474865697
169,50.80354318352215
170,1000
171,9.433981132056603
172,14.422205101855956
173,18.601075237738275
174,21.400934559032695
175,18.027756377319946
176,17.26267650163207
177,16.76305461424021
178,24.08318915758459
179,22.360679774997898
180,23.769728648009426
181,32.01562118716424
182,1000
183,1.4142135623730951
184,25.612496949731394
185,22.20360331117452
186,19.4164878389476
187,16.64331697709324
188,11.661903789690601
189,22.090722034374522
190,1000
191,16.55294535724685
192,20.615528128088304
193,17.26267650163207
194,11.045361017187261
195,6.0
196,2.23606797749979
197,12.041594578792296
198,17.204650534085253
199,15.811388300841896
200,17.029386365926403
201,15.652475842498529
202,19.4164878389476
203,21.2602916254693
204,35.0
205,35.510561809129406
206,38.07886552931954
207,29.154759474226502
208,35.77708763999664
209,28.460498941515414
210,36.40054944640259
211,40.80441152620633
212,44.9221548904324
213,48.08326112068523
214,49.33558553417604
215,44.28317965096906
216,47.16990566028302
217,37.36308338453881
218,1000
219,2.23606797749979
220,5.0
221,19.697715603592208
222,24.08318915758459
223,34.0147027033899
224,1000
225,9.486832980505138
226,12.041594578792296
227,1000
228,12.727922061357855
229,22.847319317591726
230,29.274562336608895
231,1000
232,15.620499351813308
233,25.709920264364882
234,43.18564576337837
235,68.3593446428504
236,1000
237,1000
238,1000
239,1000
240,1000
241,1000
242,1000
243,1000
244,21.18962010041709
245,1000
246,1000
247,1000
248,1000
249,4.47213595499958
250,1000
251,3.0
252,8.48528137423857
253,13.416407864998739
254,14.035668847618199
255,4.47213595499958
256,9.0
257,17.72004514666935
258,17.11724276862369
259,19.72308292331602
260,23.853720883753127
261,1000
262,6.082762530298219
263,6.324555320336759
264,1000
265,1000
266,5.385164807134504
267,1000
268,1000
269,1000
270,12.206555615733702
271,1000
272,4.123105625617661
273,8.06225774829855
274,10.63014581273465
275,14.866068747318506
276,6.4031242374328485
277,1000
278,7.615773105863909
279,1000
280,6.4031242374328485
281,20.615528128088304
282,1000
283,8.602325267042627
284,1000
285,5.830951894845301
286,1.4142135623730951
287,3.1622776601683795
288,4.0
289,13.601470508735444
290,8.246211251235321
291,7.810249675906654
292,4.242640687119285
293,8.246211251235321
294,2.8284271247461903
295,7.280109889280518
296,7.211102550927978
297,13.92838827718412
298,13.0
299,1000
300,2.23606797749979
301,7.280109889280518
302,1000
303,12.165525060596439
304,20.615528128088304
305,17.46424919657298
306,18.439088914585774
307,26.476404589747453
308,34.52535300326414
309,41.19465984809196
310,42.190046219457976
311,45.17742799230607
312,45.044422518220834
313,43.104524124504614
314,43.104524124504614
315,39.20459156782532
316,36.345563690772494
317,36.345563690772494
318,36.345563690772494
319,45.39823785126467
320,43.56604182158393
321,41.773197148410844
322,47.67598976424087
323,1000
324,1000
325,12.041594578792296
326,12.041594578792296
327,11.661903789690601
328,1000
329,3.605551275463989
330,31.400636936215164
331,41.19465984809196
332,51.088159097779204
333,60.13318551349163
334,64.07027391856539
335,70.06425622241343
336,70.00714249274856
337,71.0
338,76.00657866263946
339,80.00624975587844
340,3.1622776601683795
341,7.280109889280518
