Frame Number,Distance
1,15.13274595
2,23.19482701
3,18.24828759
4,28.28427125
5,23.34523506
6,28.01785145
7,18
8,10.44030651
9,6.08276253
10,10.63014581
11,4.242640687
12,16.1245155
13,5.830951895
14,4.123105626
15,7.071067812
16,5.656854249
17,1
18,4.472135955
19,7
20,3.605551275
21,33.83784863
22,35.51056181
23,27.07397274
24,37.10795063
25,38.01315562
26,40.49691346
27,54.14794548
28,48.83646179
29,60.41522987
30,62.09669879
31,56.88585061
32,60.01666435
33,53.60037313
34,69.63476143
35,75.31268154
36,78.08969202
37,74.63243263
38,79.30952024
39,69.3181073
40,73.79024326
41,66.03786792
42,54.08326913
43,70.66116331
44,66.18912297
45,68.9637586
46,54.91812087
47,48.82622246
48,58.52349955
49,64.63745044
50,56.35601121
51,60.90155991
52,61.77378085
53,76.05918748
54,82.46211251
55,81.9390017
56,73.40980861
57,78
58,78.18567644
59,76.92203845
60,80.23091673
61,84.09518417
62,88.68483523
63,87.66413178
64,98.61541462
65,99.40321926
66,95.85405573
67,87.23531395
68,93.63759929
69,100.8464179
70,114.4901743
71,105.6219674
72,105.5130324
73,102.3914059
74,122.9186723
75,70
76,59.94163828
77,69.35416354
78,83.45058418
79,87.86353055
80,94.57801013
81,132.9247908
82,135.6945098
83,204.3624232
84,210.0214275
85,231.1752582
86,246.0731599
87,242.0743687
88,236.0084744
89,209.7450834
90,204.6777956
91,173.6317943
92,182.3622768
93,205.8275978
94,170.3085435
95,184.4911922
96,183.6981219
97,194.648401
98,182.2580588
99,185.2241885
100,183.8096842
101,172.626765
102,168.2379268
103,165.4841382
104,167.4514855
105,159.2388144
106,146.1232357
107,148.1114445
108,133.9589489
109,135.2479205
110,130.3572016
111,133.7011593
112,133.1352696
113,136
114,131.5294644
115,150.950323
116,137.2005831
117,135.9154149
118,123.458495
119,128.2224629
120,133.932819
121,129.3560977
122,134.7182245
123,142.0774437
124,138.3979769
125,130.5986217
126,140.388746
127,156.7067325
128,135.5654823
129,145.3822548
130,144.1839103
131,142.2743828
132,132.2308587
133,127.4244874
134,122.184287
135,113.9517442
136,112.4455424
137,98.02040604
138,99.32270637
139,92.19544457
140,94.19129471
141,78.10249676
142,80.30566605
143,72
144,72.02777242
145,90.8735385
146,79.47955712
147,40.02499219
148,59.07622195
149,64.66065264
150,57.72347876
151,60.20797289
152,57.07013229
153,62.12889827
154,54.03702434
155,66.00757532
156,65
157,72.1734023
158,72.11102551
159,88.95504483
160,87.69264507
161,87.66413178
162,77.23341246
163,81.22191822
164,84.48076704
165,92
166,81.74350127
167,73.92563831
168,80.0624756
169,80.23091673
170,69.64194139
171,80.23091673
172,91.70605214
173,95.27329112
174,99.72963451
175,88.141931
176,89.94442729
177,87.23531395
178,95.7183368
179,93.81364506
180,95.7183368
181,91.0659102
182,108.9311709
183,111.8257573
184,90.60905032
185,108.0046295
186,111.8302285
187,117.6137747
188,111.7586686
189,121.2023102
190,108.4665847
191,97.41663102
192,97.61659695
193,97.45255256
194,104.019229
195,108.2266141
196,111.5168149
197,100.4041832
198,94.86832981
199,95.4410813
200,91.60785992
201,61.84658438
202,71.21797526
203,62.96824597
204,46.69047012
205,44.55333882
206,43.26661531
207,51.97114584
208,46.17358552
209,53.48831648
210,56.79788728
211,47.29693436
212,40.52159918
213,44.55333882
214,41.77319715
215,54.08326913
216,67.74215822
217,88.23264702
218,94.04786016
219,101.2126474
220,109.2245394
221,122.3315168
222,121.5113163
223,132.438665
224,139.9464183
225,137.2443077
226,160.6019925
227,163.3768649
228,158.685223
229,122.3764683
230,126.8897159
231,133.2216199
232,136.1800279
