Frame Number,Distance
1,13.341664064126334
2,16.0312195418814
3,7.211102550927978
4,9.848857801796104
5,11.40175425099138
6,13.92838827718412
7,11.180339887498949
8,10.295630140987
9,19.235384061671343
10,28.635642126552707
11,31.38470965295043
12,34.48187929913333
13,25.238858928247925
14,26.076809620810597
15,30.610455730027933
16,28.30194339616981
17,30.0
18,36.235341863986875
19,36.76955262170047
20,33.015148038438355
21,45.27692569068709
22,44.40720662234904
23,45.09988913511872
24,51.24451190127583
25,52.15361924162119
26,51.97114584074513
27,68.00735254367721
28,61.40032573203501
29,75.66372975210778
30,76.2954782408499
31,70.57619995437555
32,70.8590149522275
33,65.62011886609167
34,78.44743462982075
35,87.29833904490967
36,90.93404203047393
37,86.40023148117139
38,92.11405973031478
39,82.46211251235322
40,85.61541917201598
41,76.94153624668537
42,62.76941930590086
43,80.11242100947892
44,73.348483283569
45,78.26237921249263
46,65.36818798161687
47,61.29437168288782
48,71.47027354082255
49,75.29276193632427
50,68.15423684555495
51,73.824115301167
52,72.44998274671983
53,87.46427842267951
54,91.54780172128658
55,93.40770846134703
56,85.44003745317531
57,89.5377015563835
58,91.0823802938856
59,91.18113840043894
60,90.47651629014017
61,96.56603957913983
62,99.29753269845128
63,99.00505037623081
64,109.5627673984187
65,109.00458705944443
66,107.91200118615167
67,102.04410811016969
68,108.4665847162157
69,116.1077086157504
70,119.87076374162301
71,114.16216536138407
72,112.79184367674819
73,101.65136496870073
74,111.83022847155415
75,123.08127396155761
76,121.3424904969401
77,137.93114224133723
78,147.05441169852742
79,152.029602380589
80,160.0124995117569
81,189.59430371189953
82,193.58202395883765
83,213.03755537463343
84,201.71762441591463
85,222.52415599210798
86,230.05434140654683
87,224.98222151983475
88,217.45114393812693
89,214.75567512873786
90,207.87015177749788
91,205.7790076757102
92,214.34784813475503
93,218.92921230388603
94,193.75241933973368
95,204.37710243566914
96,201.61349161204464
97,197.1319355152787
98,195.5326059765992
99,190.46521992216847
100,187.0106948813356
101,174.4161689752415
102,167.37084572887835
103,163.95731151735808
104,160.58953888718904
105,156.51836952894698
106,142.1724305201258
107,142.9405470816451
108,127.88275880665071
109,127.76932339180638
110,126.53062870309307
111,124.27791436936813
112,122.77621919573839
113,126.38433447227548
114,116.41735265844177
115,131.24404748406687
116,116.1077086157504
117,112.72976536833562
118,102.88342918079665
119,101.21264743103995
120,92.11405973031478
121,86.16263691415206
122,88.19297024139736
123,96.00520819205592
124,91.0
125,87.20665112249179
126,86.4060183089118
127,85.88364221433555
128,79.17701686727027
129,77.38862965578342
130,77.3692445355388
131,76.32168761236873
132,68.35202996254024
